Signal Name (Long Name),Signal Name (Short Name),Publisher,Subscriber,(Feature01: Miscellaneous Information),(Feature02: Electronic Brake force Distribution),(Feature 05: Antilock Brake System),(Feature 06: Traction Control System),(Feature 07: Stability Control System),(Feature 11: Auto Vehicle Hold),(Feature 13: Adaptive Cruise Control Braking),(Feature 20: Brake Disk Cleaning),(Feature 30: Hill Hold Control)
Accelerator Actual Position,AccelActuPos,ECM,SCS,,,,T,T,T,T,T,
Accelerator Actual Position Validity,AccelActuPosV,ECM,SCS,,,,T,T,T,T,T,
Accelerator Effective Position,AccelEfctvPos,ECM,SCS,,,,T,T,T,,,
Antilock Brake System Active,ABSA,SCS,SDM|TCCM|TCM,,,T,,,,,,
Antilock Brake System Failed,ABSF,SCS,SDM|TCCM|TCM,,,T,,,,,,
Antilock Brake System Active Indication On,ABSAIO,SCS,IPK|SDM,,,T,,,,,,
Auto Hold Message,AutoHoldMsg,SCS,IPK,,,T,,,,,,
Auto Hold System Status,AutoHoldSysSts,SCS,IPK|ECM|TCM,,,,,,T,,,
Automatic Transmission Commanded Gear,AutocTrCmddGear,ECM,SCS,,,,,,T,,,
Automatic Transmission Gear Shift Direction,AutocTrGearShftDircn,TCU,SCS,,,,T,T,,,,
Automatic Transmission Gear Shift Direction Failure,AutocTrGearShftDircnF,TCU,SCS,,,,T,T,,,,
Break Fluid Level Low,BrkFludLvlLow,SCS,IPK|Telematics|SDM,,,,T,T,T,,,
Brake Fluid Level Low Validity,BrkFludLvlLowV,SCS,IPK|Telematics|SDM,T,,,,,,,,
Brake Pedel Position,BrkPdlPos,GW,SCS,T,,,,,,,,
